"category","kor_name","english_name","occurrence_count","regions","reason"
"consumable","회춘의 환약 x2 - 전갈 강 지하 묘지","Rejuvenating Boluses x2 - Scorpion River Catacombs","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"consumable","회춘의 환약 x3 - 전갈 강 지하 묘지","Rejuvenating Boluses x3 - Scorpion River Catacombs","1","dlc","묶음 수량 제거 후에도 동일 데이터 없음"
"flask_upgrade","근력 혹 결정 물방울","Strength-Knot Crystal Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","기량 혹 결정 물방울","Dexterity-knot Crystal Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","나뭇가지 깨진 물방울","Twiggy Cracked Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","넘치는 붉은 결정 물방울","Crimsonspill Crystal Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","넘치는 초록 결정 물방울","Greenspill Crystal Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","돌가시 깨진 물방울","Stonebarb Cracked Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","신앙 혹 결정 물방울","Faith-knot Crystal Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","지력 혹 결정 물방울","Intelligence-knot Crystal Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"flask_upgrade","화염 두른 깨진 물방울","Flame-Shrouding Cracked Tear","1","surface","결정 물방울 번역 차이 또는 데이터 누락"
"key_item","""성스러운 탑"" 그림","""The Sacred Tower"" Painting","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","""침입"" 그림","""Incursion"" Painting","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy I","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy H","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy A","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy C","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy D","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy G","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy E","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약","Furlcalling Finger Remedy F","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","갈고리 부르는 손가락약 - Highroad Cave","Furlcalling Finger Remedy J - Highroad Cave ","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","겨루기 소망","May the Best Win","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","고기 장사의 방울","Meat Peddler's Bell Bearing","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","고스토크의 방울","Gostoc's Bell Bearing","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","곰팡이 장사의 방울","Moldmonger's Bell Bearing","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","귀소 그림","Homecoming Painting","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","그림자 탑 메시지 - 벨라트 탑의 도시","Tower of Shadow Message - Belurat Tower Settlement","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","금 바늘","Gold Sewing Needle","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","기름 장사의 방울","Greasemonger's Bell Bearing","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","끈 장사의 방울","String-Seller's Bell Bearing","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","날지 못하는 새 그림","Flightless Bird Painting","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","내면의 율","Inner Order","1","underground","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","단석 채석꾼의 방울 [1]","Smithing-Stone Miner's Bell Bearing (1)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","단석 채석꾼의 방울 [2]","Smithing-Stone Miner's Bell Bearing (2)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","단석 채석꾼의 방울 [3]","Smithing-Stone Miner's Bell Bearing [3]","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","단석 채석꾼의 방울 [4]","Smithing-Stone Miner's Bell Bearing (4)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","당신과 함께 - 에니르 일림","Let Us Go Together - Enir-Ilim","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","덱타스의 부절(우)","Dectus Medallion (Right)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","덱타스의 부절(좌)","Dectus Medallion (Left)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","두 손가락","The Two Fingers (Gesture)","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","레다의 메시지","Message from Leda","2","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","마술기계 장인의 방울","Spellmachinist's Bell Bearing","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","마술사 그림","Sorcerer Painting","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","말하는 머리 ""내 사랑""","Prattling Pate (My Beloved)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","말하는 머리 ""대단해""","Prattling Pate (Wonderful)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","말하는 머리 ""도와줘""","Prattling Pate (Please Help)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","말하는 머리 ""시작하자""","Prattling Pate (Let's get to it) ","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","묘 은방울꽃 채취자의 방울 [1]","Glovewort Picker's Bell Bearing (1)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","묘 은방울꽃 채취자의 방울 [3]","Glovewort Picker's Bell Bearing (3)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","무어의 방울 - 에니르 일림","Moore's Bell Bearing - Enir-Ilim","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","배율자의 손가락","Recusant Finger","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","버섯 장사의 방울 [1]","Mushroom-Seller's Bell Bearing (1)","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","버섯 장사의 방울 [2]","Mushroom-Seller's Bell Bearing [2]","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","베르나르에게 보내는 편지","Letter to Bernahl","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","부적 주머니","Talisman Pouch (Godfrey)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","붉은 사자 그림","Redmane Painting","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","붉은 숫돌 칼날","Red-Hot Whetblade","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","붉은 편지","Red Letter","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","비밀 의식의 두루마리","Secret Rite Scroll","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","색 잃은 채석꾼의 방울 [1]","Somberstone Miner's Bell Bearing (1)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","색 잃은 채석꾼의 방울 [2]","Somberstone Miner's Bell Bearing (2)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","색 잃은 채석꾼의 방울 [3]","Somberstone Miner's Bell Bearing (3)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","색 잃은 채석꾼의 방울 [4]","Somberstone Miner's Bell Bearing (4)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","색 잃은 채석꾼의 방울 [5]","Somberstone Miner's Bell Bearing (5)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","선잠","Dozing Cross-Legged","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","성수의 비부절(우)","Haligtree Secret Medallion (Right)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","성수의 비부절(좌)","Haligtree Secret Medallion (Left)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","성스러운 탑 그림 보상","The Sacred Tower Painting Solution","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","성의 십자 메시지","Castle Cross Message","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","셀브스의 방울","Seluvis's Bell Bearing","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","소각로 관리자의 수기","Furnace Keeper's Note","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","손가락 끊기 칼","Finger Severer","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","손가락 자국 포도","Fingerprint Grape","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","순교자의 우상: 엘데의 왕좌","Effigy of the Martyr: Elden Throne","1","extra","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","순교자의 우상: 엘데의 짐승","Effigy of the Martyr: Elden Beast","1","extra","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","순교자의 우상: 황금 나무 대성당","Effigy of the Martyr: Erdtree Sanctuary","1","extra","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","승려의 편지","Monk's Missive","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","승리의 환희","Triumphant Delight","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","신성 숫돌 칼날","Sanctified Whetblade","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","약 장사의 방울","Medicine Peddler's Bell Bearing","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","약초 장사의 방울","Herbalist's Bell Bearing","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","어머니여","O Mother (Gesture)","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","에이곤의 방울","Igon's Bell Bearing","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","영웅의 노래 그림","Champion's Song Painting","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","영혼 묘 은방울꽃 채취자의 방울 [1]","Ghost-Glovewort Picker's Bell Bearing (1)","1","underground","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","영혼 묘 은방울꽃 채취자의 방울 [2]","Ghost-Glovewort Picker's Bell Bearing (2)","1","underground","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","영혼 묘 은방울꽃 채취자의 방울 [3]","Ghost-Glovewort Picker's Bell Bearing (3)","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","예언 그림","Prophecy Painting","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","옛 유적의 십자 메시지","Ancient Ruins Cross Message","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","온상 저주 - East Leyndell, Royal Capital","Seedbed Curse - East Leyndell, Royal Capital","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","온상 저주 - Volcano Manor","Seedbed Curse - Volcano Manor","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","온상 저주 - West Leyndell, Royal Capital","Seedbed Curse - West Leyndell, Royal Capital","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","용의 경계 그림","Domain of Dragons Painting","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","용의 경계 그림 보상","Domain of Dragons Painting Solution","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","유미르의 방울","Ymir's Bell Bearing","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","재탄 그림","Resurrection Painting","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","중력석 장사의 방울","Gravity Stone Peddler's Bell Bearing","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","찢어진 일지","Torn Diary Page","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","창고의 십자 메시지","Storehouse Cross Message","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","철 숫돌 칼날","Iron Whetblade","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","침입 그림 보상","Incursion Painting Solution","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","케로네의 마술사탑 거북이 표식 1","Chelona's Rise Turtle Marker 1","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","케로네의 마술사탑 거북이 표식 2","Chelona's Rise Turtle Marker 2","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","케로네의 마술사탑 거북이 표식 3","Chelona's Rise Turtle Marker 3","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","큰 항아리 도공의 제작서 [4]","Greater Potentate's Cookbook [4]","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","토푸스의 방울","Thops's Bell Bearing","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","패치에게 보내는 편지","Letter to Patches","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","폭풍 매의 옛 왕","The Stormhawk King","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","프레이야에게 보내는 편지","Letter for Freyja","1","dlc","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","피디의 방울","Pidia's Bell Bearing","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","화산관에서 온 편지","Letter from Volcano Manor","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","황금 재봉 도구","Golden Tailoring Tools","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"key_item","휘석 숫돌 칼날","Glintstone Whetblade","1","surface","맵 전용 표식/보상 포함: E 데이터에서 동일 제목 없음"
"map_fragment","만남의 장소 지도","Meeting Place Map","1","surface","지도 조각: E 데이터에서 동일 제목 없음"
"map_fragment","새로운 십자 지도","New Cross Map","1","dlc","지도 조각: E 데이터에서 동일 제목 없음"
"map_fragment","십자 지도","Cross Map","1","dlc","지도 조각: E 데이터에서 동일 제목 없음"
"map_fragment","지도 조각: 거인들의 산령 동부","Map (Mountaintops of The Giants, East)","1","surface","지도 조각: E 데이터에서 동일 제목 없음"
"map_fragment","지도 조각: 거인들의 산령 서부","Map Mountaintops of the Giants, West","1","surface","지도 조각: E 데이터에서 동일 제목 없음"
